run_id,exp_id,model,accuracy,duration,when
0,0,rf,0.512,83.2,2025-01-01 00:00:00
1,1,xgb,0.568,31.6,2025-01-01 00:01:00
2,2,rf,0.789,10.5,2025-01-01 00:02:00
3,3,rf,0.607,152.1,2025-01-01 00:03:00
4,4,rf,0.775,215.1,2025-01-01 00:04:00
5,5,logreg,0.608,177.2,2025-01-01 00:05:00
6,6,rf,0.872,48.7,2025-01-01 00:06:00
7,7,logreg,0.667,47.5,2025-01-01 00:07:00
8,8,svm,0.55,114.6,2025-01-01 00:08:00
9,9,svm,0.915,181.5,2025-01-01 00:09:00
10,10,rf,,161.3,2025-01-01 00:10:00
11,11,logreg,0.539,88.7,2025-01-01 00:11:00
12,12,svm,0.783,211.7,2025-01-01 00:12:00
13,13,rf,0.824,232.1,2025-01-01 00:13:00
14,14,rf,0.919,260.1,2025-01-01 00:14:00
15,15,logreg,0.636,191.1,2025-01-01 00:15:00
16,16,svm,0.58,107.2,2025-01-01 00:16:00
17,17,svm,0.844,205.4,2025-01-01 00:17:00
18,18,rf,0.798,52.2,2025-01-01 00:18:00
19,19,xgb,0.58,114.5,2025-01-01 00:19:00
20,20,xgb,0.835,253.0,2025-01-01 00:20:00
21,21,rf,0.612,10.6,2025-01-01 00:21:00
22,22,svm,0.697,20.8,2025-01-01 00:22:00
23,23,svm,0.604,150.3,2025-01-01 00:23:00
24,24,logreg,0.57,42.7,2025-01-01 00:24:00
25,25,svm,0.866,129.1,2025-01-01 00:25:00
26,26,logreg,0.677,299.2,2025-01-01 00:26:00
27,27,xgb,0.75,28.2,2025-01-01 00:27:00
28,28,rf,0.922,46.7,2025-01-01 00:28:00
29,29,xgb,0.888,127.2,2025-01-01 00:29:00
30,30,rf,0.689,179.2,2025-01-01 00:30:00
31,31,logreg,0.759,291.4,2025-01-01 00:31:00
32,32,rf,0.833,35.3,2025-01-01 00:32:00
33,33,svm,0.877,102.7,2025-01-01 00:33:00
34,34,svm,0.713,136.7,2025-01-01 00:34:00
35,35,svm,0.976,228.8,2025-01-01 00:35:00
36,36,rf,0.927,90.2,2025-01-01 00:36:00
37,37,xgb,0.575,229.0,2025-01-01 00:37:00
38,38,rf,0.793,147.1,2025-01-01 00:38:00
39,39,rf,0.955,263.7,2025-01-01 00:39:00
40,40,svm,0.617,73.0,2025-01-01 00:40:00
41,41,rf,0.542,146.3,2025-01-01 00:41:00
42,42,rf,0.979,160.3,2025-01-01 00:42:00
43,43,xgb,0.563,143.1,2025-01-01 00:43:00
44,44,xgb,0.63,261.9,2025-01-01 00:44:00
45,45,logreg,0.973,278.7,2025-01-01 00:45:00
46,46,xgb,0.849,120.3,2025-01-01 00:46:00
47,47,svm,0.715,155.8,2025-01-01 00:47:00
48,48,rf,0.621,20.1,2025-01-01 00:48:00
49,49,rf,0.788,69.8,2025-01-01 00:49:00
50,50,xgb,0.504,212.6,2025-01-01 00:50:00
51,51,rf,0.612,271.7,2025-01-01 00:51:00
52,52,svm,0.535,72.2,2025-01-01 00:52:00
53,53,logreg,0.605,40.6,2025-01-01 00:53:00
54,54,logreg,0.619,142.4,2025-01-01 00:54:00
55,55,logreg,0.593,30.0,2025-01-01 00:55:00
56,56,logreg,0.674,123.9,2025-01-01 00:56:00
57,57,rf,0.83,295.3,2025-01-01 00:57:00
58,58,rf,0.53,218.7,2025-01-01 00:58:00
59,59,rf,0.622,57.9,2025-01-01 00:59:00
60,60,logreg,0.569,55.9,2025-01-01 01:00:00
61,61,logreg,0.622,277.1,2025-01-01 01:01:00
62,62,logreg,0.896,256.9,2025-01-01 01:02:00
63,63,rf,0.525,299.8,2025-01-01 01:03:00
64,64,rf,0.975,278.0,2025-01-01 01:04:00
65,65,xgb,0.581,146.2,2025-01-01 01:05:00
66,66,xgb,0.924,270.8,2025-01-01 01:06:00
67,67,xgb,0.686,295.6,2025-01-01 01:07:00
68,68,svm,0.954,235.8,2025-01-01 01:08:00
69,69,svm,0.707,287.2,2025-01-01 01:09:00
70,70,logreg,0.576,89.7,2025-01-01 01:10:00
71,71,rf,0.784,163.1,2025-01-01 01:11:00
72,72,svm,0.528,175.7,2025-01-01 01:12:00
73,73,xgb,0.528,152.8,2025-01-01 01:13:00
74,74,xgb,0.534,21.3,2025-01-01 01:14:00
75,75,xgb,0.698,282.5,2025-01-01 01:15:00
